               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055638,            0.031008,            0.047848,             0.60537,             0.26612,             0.26728,              0.1064,            0.043404,            0.026188,            0.038318,            0.006436,            0.006436,            0.006436
                  38,            0.057073,            0.030454,            0.047503,             0.59928,              0.2907,             0.30009,             0.11711,             0.04527,            0.026133,            0.037534,            0.006337,            0.006337,            0.006337
                  39,            0.056464,             0.03091,            0.047216,             0.60253,             0.30679,             0.30793,             0.12153,            0.044469,            0.026046,            0.037024,            0.006238,            0.006238,            0.006238
                  40,            0.056438,            0.029969,            0.046232,             0.58674,             0.29754,             0.29667,             0.11788,             0.04513,            0.025879,            0.036784,            0.006139,            0.006139,            0.006139
                  41,            0.055544,             0.03118,            0.045305,             0.60342,             0.30077,             0.30942,             0.12602,            0.043001,            0.025745,            0.036125,             0.00604,             0.00604,             0.00604
                  42,            0.055882,            0.030326,            0.044731,             0.57683,             0.32979,             0.32638,             0.12978,            0.044254,            0.026294,            0.035621,            0.005941,            0.005941,            0.005941
                  43,            0.056439,            0.030319,             0.04433,             0.59456,             0.31778,             0.33516,             0.13274,            0.044646,            0.025916,            0.034804,            0.005842,            0.005842,            0.005842
                  44,            0.055133,            0.030092,             0.04456,             0.59169,             0.34464,               0.372,              0.1479,            0.042857,            0.025824,            0.034076,            0.005743,            0.005743,            0.005743
                  45,            0.054489,            0.029628,            0.042867,             0.59103,             0.35203,             0.37302,             0.14773,            0.042898,            0.025563,            0.033414,            0.005644,            0.005644,            0.005644
                  46,             0.05344,            0.030487,            0.040908,             0.62409,             0.34983,              0.3861,             0.15347,            0.042055,            0.025547,            0.032838,            0.005545,            0.005545,            0.005545
                  47,            0.055265,            0.029606,            0.042943,             0.57763,              0.3841,             0.39681,             0.15412,            0.043299,            0.025717,            0.032229,            0.005446,            0.005446,            0.005446
                  48,            0.055019,            0.029758,            0.040608,             0.59511,             0.37804,             0.40255,             0.16339,             0.04263,            0.025516,             0.03249,            0.005347,            0.005347,            0.005347
                  49,            0.054763,            0.030133,            0.040495,             0.58007,             0.38807,             0.40911,             0.16823,            0.041888,            0.025405,            0.031974,            0.005248,            0.005248,            0.005248
                  50,            0.053053,            0.029524,            0.040227,             0.57604,             0.39055,             0.41652,             0.17221,             0.04235,            0.025372,            0.031586,            0.005149,            0.005149,            0.005149
                  51,            0.053874,            0.029494,            0.040709,             0.60548,             0.39907,             0.43421,             0.18038,            0.042119,            0.025252,            0.031094,             0.00505,             0.00505,             0.00505
                  52,            0.053994,            0.029824,            0.038187,             0.57201,              0.4032,             0.42479,             0.17593,            0.042047,            0.025295,             0.03026,            0.004951,            0.004951,            0.004951
                  53,            0.053768,            0.030379,            0.038808,             0.58031,             0.41217,             0.43349,             0.17297,            0.045037,            0.025505,            0.030123,            0.004852,            0.004852,            0.004852
                  54,            0.053388,            0.030043,            0.037756,             0.56463,             0.42361,             0.43825,             0.17603,            0.042671,            0.025288,            0.029655,            0.004753,            0.004753,            0.004753
                  55,            0.052664,              0.0293,            0.039646,             0.60036,             0.42046,             0.45546,             0.18622,            0.041828,            0.025091,            0.029386,            0.004654,            0.004654,            0.004654
                  56,            0.052306,            0.029759,             0.03683,             0.55591,             0.43884,             0.45837,             0.18771,            0.041987,            0.025123,            0.028847,            0.004555,            0.004555,            0.004555
